problem_statement,problem_tags,contestId,index,name,type,points,rating
1144F - Graph Without Long Directed Paths,"dfs and similar,graphs",1144,F,Graph Without Long Directed Paths,PROGRAMMING,,1700.0
1144E - Median String,"bitmasks,math,number theory,strings",1144,E,Median String,PROGRAMMING,,1900.0
1144D - Equalize Them All,"constructive algorithms,greedy",1144,D,Equalize Them All,PROGRAMMING,,1400.0
1144C - Two Shuffled Sequences,"constructive algorithms,sortings",1144,C,Two Shuffled Sequences,PROGRAMMING,,1000.0
1144B - Parity Alternated Deletions,"greedy,implementation,sortings",1144,B,Parity Alternated Deletions,PROGRAMMING,,900.0
1144A - Diverse Strings,"implementation,strings",1144,A,Diverse Strings,PROGRAMMING,,800.0
1143C - Queen,"dfs and similar,trees",1143,C,Queen,PROGRAMMING,1000.0,1400.0
1143B - Nirvana,"brute force,math,number theory",1143,B,Nirvana,PROGRAMMING,1000.0,1200.0
1143A - The Doors,implementation,1143,A,The Doors,PROGRAMMING,500.0,800.0
1142E - Pink Floyd,"graphs,interactive",1142,E,Pink Floyd,PROGRAMMING,2500.0,3200.0
1142D - Foreigner,dp,1142,D,Foreigner,PROGRAMMING,2000.0,2800.0
1142C - U2,geometry,1142,C,U2,PROGRAMMING,1500.0,2400.0
1142B - Lynyrd Skynyrd,"data structures,dfs and similar,dp,math,trees",1142,B,Lynyrd Skynyrd,PROGRAMMING,1000.0,2000.0
1142A - The Beatles,"brute force,math",1142,A,The Beatles,PROGRAMMING,500.0,1700.0
1141G - Privatization of Roads in Treeland,"binary search,constructive algorithms,dfs and similar,graphs,greedy,trees",1141,G,Privatization of Roads in Treeland,PROGRAMMING,,1900.0
1141F2 - Same Sum Blocks (Hard),"data structures,greedy",1141,F2,Same Sum Blocks (Hard),PROGRAMMING,,1900.0
1141F1 - Same Sum Blocks (Easy),greedy,1141,F1,Same Sum Blocks (Easy),PROGRAMMING,,1900.0
1141E - Superhero Battle,math,1141,E,Superhero Battle,PROGRAMMING,,1700.0
1141D - Colored Boots,"greedy,implementation",1141,D,Colored Boots,PROGRAMMING,,1500.0
1141C - Polycarp Restores Permutation,math,1141,C,Polycarp Restores Permutation,PROGRAMMING,,1500.0
1141B - Maximal Continuous Rest,implementation,1141,B,Maximal Continuous Rest,PROGRAMMING,,900.0
1141A - Game 23,"implementation,math",1141,A,Game 23,PROGRAMMING,,1000.0
1140G - Double Tree,"data structures,divide and conquer,shortest paths,trees",1140,G,Double Tree,PROGRAMMING,,2700.0
1140F - Extending Set of Points,"data structures,divide and conquer,dsu",1140,F,Extending Set of Points,PROGRAMMING,,2600.0
1140E - Palindrome-less Arrays,"combinatorics,divide and conquer,dp",1140,E,Palindrome-less Arrays,PROGRAMMING,,2200.0
1140D - Minimum Triangulation,"dp,greedy,math",1140,D,Minimum Triangulation,PROGRAMMING,,1200.0
1140C - Playlist,"brute force,data structures,sortings",1140,C,Playlist,PROGRAMMING,,1600.0
1140B - Good String,"implementation,strings",1140,B,Good String,PROGRAMMING,,1200.0
1140A - Detective Book,implementation,1140,A,Detective Book,PROGRAMMING,,1000.0
1139F - Dish Shopping,"data structures,divide and conquer",1139,F,Dish Shopping,PROGRAMMING,3000.0,2500.0
1139E - Maximize Mex,"flows,graph matchings,graphs",1139,E,Maximize Mex,PROGRAMMING,2500.0,2400.0
1139D - Steps to One,"dp,math,number theory,probabilities",1139,D,Steps to One,PROGRAMMING,2250.0,2300.0
1139C - Edgy Trees,"dfs and similar,dsu,graphs,math,trees",1139,C,Edgy Trees,PROGRAMMING,1750.0,1500.0
1139B - Chocolates,"greedy,implementation",1139,B,Chocolates,PROGRAMMING,1000.0,1000.0
1139A - Even Substrings,"implementation,strings",1139,A,Even Substrings,PROGRAMMING,500.0,800.0
1138B - Circus,"brute force,greedy,math,strings",1138,B,Circus,PROGRAMMING,1000.0,1800.0
1138A - Sushi for Two,"binary search,greedy,implementation",1138,A,Sushi for Two,PROGRAMMING,500.0,900.0
1137F - Matches Are Not a Child's Play ,"data structures,trees",1137,F,Matches Are Not a Child's Play ,PROGRAMMING,3000.0,3400.0
1137E - Train Car Selection,"data structures,greedy",1137,E,Train Car Selection,PROGRAMMING,2500.0,2700.0
1137D - Cooperative Game,"constructive algorithms,interactive,number theory",1137,D,Cooperative Game,PROGRAMMING,2250.0,2400.0
1137C - Museums Tour,"dp,graphs,implementation",1137,C,Museums Tour,PROGRAMMING,1500.0,2500.0
1137B - Camp Schedule,"greedy,hashing,strings",1137,B,Camp Schedule,PROGRAMMING,750.0,1600.0
1137A - Skyscrapers,"implementation,sortings",1137,A,Skyscrapers,PROGRAMMING,500.0,1600.0
1136E - Nastya Hasn't Written a Legend,"binary search,data structures",1136,E,Nastya Hasn't Written a Legend,PROGRAMMING,2500.0,2200.0
1136D - Nastya Is Buying Lunch,greedy,1136,D,Nastya Is Buying Lunch,PROGRAMMING,2000.0,1800.0
1136C - Nastya Is Transposing Matrices,"constructive algorithms,sortings",1136,C,Nastya Is Transposing Matrices,PROGRAMMING,1500.0,1500.0
1136B - Nastya Is Playing Computer Games,"constructive algorithms,math",1136,B,Nastya Is Playing Computer Games,PROGRAMMING,1000.0,1000.0
1136A - Nastya Is Reading a Book,implementation,1136,A,Nastya Is Reading a Book,PROGRAMMING,500.0,800.0
1133F2 - Spanning Tree with One Fixed Degree,"constructive algorithms,dfs and similar,dsu,graphs,greedy",1133,F2,Spanning Tree with One Fixed Degree,PROGRAMMING,,1900.0
1133F1 - Spanning Tree with Maximum Degree,graphs,1133,F1,Spanning Tree with Maximum Degree,PROGRAMMING,,1600.0
1133E - K Balanced Teams,"dp,sortings,two pointers",1133,E,K Balanced Teams,PROGRAMMING,,1800.0
1133D - Zero Quantity Maximization,"hashing,math,number theory",1133,D,Zero Quantity Maximization,PROGRAMMING,,1500.0
1133C - Balanced Team,"sortings,two pointers",1133,C,Balanced Team,PROGRAMMING,,1200.0
1133B - Preparation for International Women's Day,"math,number theory",1133,B,Preparation for International Women's Day,PROGRAMMING,,1200.0
1133A - Middle of the Contest,implementation,1133,A,Middle of the Contest,PROGRAMMING,,1000.0
1132G - Greedy Subsequences,"data structures,dp,trees",1132,G,Greedy Subsequences,PROGRAMMING,,2400.0
1132F - Clear the String,dp,1132,F,Clear the String,PROGRAMMING,,2000.0
1132E - Knapsack,"dfs and similar,dp,greedy",1132,E,Knapsack,PROGRAMMING,,2300.0
1132D - Stressful Training,"binary search,greedy",1132,D,Stressful Training,PROGRAMMING,,2300.0
1132C - Painting the Fence,brute force,1132,C,Painting the Fence,PROGRAMMING,,1700.0
1132B - Discounts,"greedy,sortings",1132,B,Discounts,PROGRAMMING,,900.0
1132A - Regular Bracket Sequence,"greedy,implementation",1132,A,Regular Bracket Sequence,PROGRAMMING,,1100.0
1131G - Most Dangerous Shark,"data structures,dp,two pointers",1131,G,Most Dangerous Shark,PROGRAMMING,3500.0,2700.0
1131F - Asya And Kittens,"constructive algorithms,dsu",1131,F,Asya And Kittens,PROGRAMMING,3000.0,1700.0
1131E - String Multiplication,"dp,greedy,strings",1131,E,String Multiplication,PROGRAMMING,2500.0,2300.0
1131D - Gourmet choice,"dfs and similar,dp,dsu,graphs,greedy",1131,D,Gourmet choice,PROGRAMMING,2000.0,2000.0
1131C - Birthday,"binary search,greedy,sortings",1131,C,Birthday,PROGRAMMING,1500.0,1200.0
1131B - Draw!,"greedy,implementation",1131,B,Draw!,PROGRAMMING,1000.0,1400.0
1131A - Sea Battle,math,1131,A,Sea Battle,PROGRAMMING,500.0,800.0
1130C - Connect,"brute force,dfs and similar,dsu",1130,C,Connect,PROGRAMMING,1500.0,1400.0
1130B - Two Cakes,greedy,1130,B,Two Cakes,PROGRAMMING,1000.0,1200.0
1130A - Be Positive,implementation,1130,A,Be Positive,PROGRAMMING,500.0,800.0
1129E - Legendary Tree,"binary search,interactive,trees",1129,E,Legendary Tree,PROGRAMMING,2250.0,3100.0
1129D - Isolation,"data structures,dp",1129,D,Isolation,PROGRAMMING,2250.0,2900.0
1129C - Morse Code,"binary search,data structures,dp,hashing,sortings,string suffix structures,strings",1129,C,Morse Code,PROGRAMMING,1500.0,2400.0
1129B - Wrong Answer,constructive algorithms,1129,B,Wrong Answer,PROGRAMMING,1000.0,2000.0
1129A2 - Toy Train,"brute force,greedy",1129,A2,Toy Train,PROGRAMMING,250.0,1800.0
1129A1 - Toy Train (Simplified),"brute force,greedy",1129,A1,Toy Train (Simplified),PROGRAMMING,250.0,1700.0
1121C - System Testing,implementation,1121,C,System Testing,PROGRAMMING,1500.0,1600.0
1121B - Mike and Children,"brute force,implementation",1121,B,Mike and Children,PROGRAMMING,1000.0,1200.0
1121A - Technogoblet of Fire,"implementation,sortings",1121,A,Technogoblet of Fire,PROGRAMMING,500.0,1100.0
1120F - Secret Letters,"data structures,dp,greedy",1120,F,Secret Letters,PROGRAMMING,3000.0,3100.0
1120E - The very same Munchhausen,brute force,1120,E,The very same Munchhausen,PROGRAMMING,2500.0,2600.0
1120D - Power Tree,"dfs and similar,dp,dsu,graphs,greedy,trees",1120,D,Power Tree,PROGRAMMING,2000.0,2500.0
1120C - Compress String,"dp,strings",1120,C,Compress String,PROGRAMMING,1500.0,2100.0
1120B - Once in a casino,"constructive algorithms,greedy,implementation,math",1120,B,Once in a casino,PROGRAMMING,1000.0,2700.0
1120A - Diana and Liana,"greedy,implementation,two pointers",1120,A,Diana and Liana,PROGRAMMING,500.0,1900.0
1119H - Triple,"fft,math",1119,H,Triple,PROGRAMMING,3750.0,3200.0
1119G - Get Ready for the Battle,"constructive algorithms,implementation",1119,G,Get Ready for the Battle,PROGRAMMING,3500.0,3100.0
1119F - Niyaz and Small Degrees,"data structures,dp,trees",1119,F,Niyaz and Small Degrees,PROGRAMMING,3250.0,3400.0
1119E - Pavel and Triangles,"brute force,dp,fft,greedy,ternary search",1119,E,Pavel and Triangles,PROGRAMMING,2500.0,1900.0
1119D - Frets On Fire,"binary search,sortings",1119,D,Frets On Fire,PROGRAMMING,2000.0,1800.0
1119C - Ramesses and Corner Inversion,"constructive algorithms,greedy,implementation,math",1119,C,Ramesses and Corner Inversion,PROGRAMMING,1500.0,1500.0
1119B - Alyona and a Narrow Fridge,"binary search,flows,greedy,sortings",1119,B,Alyona and a Narrow Fridge,PROGRAMMING,1000.0,1300.0
1119A - Ilya and a Colorful Walk,"greedy,implementation",1119,A,Ilya and a Colorful Walk,PROGRAMMING,500.0,1100.0
1118F2 - Tree Cutting (Hard Version),"combinatorics,dfs and similar,dp,trees",1118,F2,Tree Cutting (Hard Version),PROGRAMMING,,2700.0
1118F1 - Tree Cutting (Easy Version),"dfs and similar,trees",1118,F1,Tree Cutting (Easy Version),PROGRAMMING,,1800.0
1118E - Yet Another Ball Problem,"constructive algorithms,implementation",1118,E,Yet Another Ball Problem,PROGRAMMING,,1700.0
1118D2 - Coffee and Coursework (Hard Version),"binary search,greedy",1118,D2,Coffee and Coursework (Hard Version),PROGRAMMING,,1700.0
1118D1 - Coffee and Coursework (Easy version),"brute force,greedy",1118,D1,Coffee and Coursework (Easy version),PROGRAMMING,,1700.0
1118C - Palindromic Matrix,"constructive algorithms,implementation",1118,C,Palindromic Matrix,PROGRAMMING,,1700.0
1118B - Tanya and Candies,implementation,1118,B,Tanya and Candies,PROGRAMMING,,1200.0
1118A - Water Buying,math,1118,A,Water Buying,PROGRAMMING,,800.0
1117G - Recursive Queries,data structures,1117,G,Recursive Queries,PROGRAMMING,,2500.0
1117F - Crisp String,"bitmasks,dp",1117,F,Crisp String,PROGRAMMING,,2500.0
1117E - Decypher the String,"bitmasks,chinese remainder theorem,constructive algorithms,interactive,math",1117,E,Decypher the String,PROGRAMMING,,2200.0
1117D - Magic Gems,"dp,math,matrices",1117,D,Magic Gems,PROGRAMMING,,2100.0
1117C - Magic Ship,binary search,1117,C,Magic Ship,PROGRAMMING,,1900.0
1117B - Emotes,"greedy,math,sortings",1117,B,Emotes,PROGRAMMING,,1000.0
1117A - Best Subsegment,"implementation,math",1117,A,Best Subsegment,PROGRAMMING,,1100.0
1116D6 - Hessenberg matrix,*special,1116,D6,Hessenberg matrix,PROGRAMMING,,
1116D5 - Creeper,*special,1116,D5,Creeper,PROGRAMMING,,
1116D4 - TIE fighter,*special,1116,D4,TIE fighter,PROGRAMMING,,
1116D3 - X-wing fighter,*special,1116,D3,X-wing fighter,PROGRAMMING,,
1116D2 - Pattern of increasing blocks,*special,1116,D2,Pattern of increasing blocks,PROGRAMMING,,
1116D1 - Block diagonal matrix,*special,1116,D1,Block diagonal matrix,PROGRAMMING,,
1116C3 - ``Is the number of ones divisible by 3?'' oracle,*special,1116,C3,``Is the number of ones divisible by 3?'' oracle,PROGRAMMING,,
1116C2 - ``Is the bit string periodic?'' oracle,*special,1116,C2,``Is the bit string periodic?'' oracle,PROGRAMMING,,
1116C1 - Alternating bits oracle,*special,1116,C1,Alternating bits oracle,PROGRAMMING,,
"1116B2 - Not A, not B or not C?",*special,1116,B2,"Not A, not B or not C?",PROGRAMMING,,
1116B1 - Distinguish three-qubit states,*special,1116,B1,Distinguish three-qubit states,PROGRAMMING,,
1116A2 - Generate equal superposition of four basis states,*special,1116,A2,Generate equal superposition of four basis states,PROGRAMMING,,
1116A1 - Generate state |00⟩ + |01⟩ + |10⟩,*special,1116,A1,Generate state |00⟩ + |01⟩ + |10⟩,PROGRAMMING,,
1115U3 - Block unitary,*special,1115,U3,Block unitary,PROGRAMMING,,1700.0
1115U2 - Chessboard unitary,*special,1115,U2,Chessboard unitary,PROGRAMMING,,1600.0
1115U1 - Anti-diagonal unitary,*special,1115,U1,Anti-diagonal unitary,PROGRAMMING,,1500.0
1115G3 - Palindrome checker oracle,*special,1115,G3,Palindrome checker oracle,PROGRAMMING,,1600.0
1115G2 - OR oracle,*special,1115,G2,OR oracle,PROGRAMMING,,1600.0
1115G1 - AND oracle,*special,1115,G1,AND oracle,PROGRAMMING,,1100.0
"1114F - Please, another Queries on Array?","bitmasks,data structures,divide and conquer,math,number theory",1114,F,"Please, another Queries on Array?",PROGRAMMING,2750.0,2400.0
1114E - Arithmetic Progression,"binary search,interactive,number theory,probabilities",1114,E,Arithmetic Progression,PROGRAMMING,2000.0,2200.0
1114D - Flood Fill,dp,1114,D,Flood Fill,PROGRAMMING,2000.0,1900.0
1114C - Trailing Loves (or L'oeufs?),"brute force,implementation,math,number theory",1114,C,Trailing Loves (or L'oeufs?),PROGRAMMING,1500.0,1700.0
1114B - Yet Another Array Partitioning Task,"constructive algorithms,greedy,sortings",1114,B,Yet Another Array Partitioning Task,PROGRAMMING,1250.0,1500.0
1114A - Got Any Grapes?,"brute force,greedy,implementation",1114,A,Got Any Grapes?,PROGRAMMING,500.0,800.0
1113B - Sasha and Magnetic Machines,"greedy,number theory",1113,B,Sasha and Magnetic Machines,PROGRAMMING,1000.0,1300.0
1113A - Sasha and His Trip,"dp,greedy,math",1113,A,Sasha and His Trip,PROGRAMMING,500.0,900.0
1111E - Tree,"data structures,dfs and similar,dp,graphs,trees",1111,E,Tree,PROGRAMMING,2500.0,2500.0
1111D - Destroy the Colony,"combinatorics,dp,math",1111,D,Destroy the Colony,PROGRAMMING,2000.0,2600.0
1111C - Creative Snap,"binary search,brute force,divide and conquer,math",1111,C,Creative Snap,PROGRAMMING,1500.0,1700.0
1111B - Average Superhero Gang Power ,"brute force,implementation,math",1111,B,Average Superhero Gang Power ,PROGRAMMING,1000.0,1700.0
1111A - Superhero Transformation,"implementation,strings",1111,A,Superhero Transformation,PROGRAMMING,500.0,1000.0
1110H - Modest Substrings,"dp,strings",1110,H,Modest Substrings,PROGRAMMING,4000.0,3500.0
1110G - Tree-Tac-Toe ,"constructive algorithms,games,trees",1110,G,Tree-Tac-Toe ,PROGRAMMING,3500.0,3100.0
1110F - Nearest Leaf,"data structures,trees",1110,F,Nearest Leaf,PROGRAMMING,3000.0,2600.0
1110E - Magic Stones,"constructive algorithms,math,sortings",1110,E,Magic Stones,PROGRAMMING,2500.0,2200.0
1110D - Jongmah,dp,1110,D,Jongmah,PROGRAMMING,2000.0,2200.0
1110C - Meaningless Operations,"constructive algorithms,math,number theory",1110,C,Meaningless Operations,PROGRAMMING,1500.0,1500.0
1110B - Tape,"greedy,sortings",1110,B,Tape,PROGRAMMING,1000.0,1400.0
1110A - Parity,math,1110,A,Parity,PROGRAMMING,500.0,900.0
1109F - Sasha and Algorithm of Silence's Sounds,"data structures,trees",1109,F,Sasha and Algorithm of Silence's Sounds,PROGRAMMING,3000.0,3200.0
1109E - Sasha and a Very Easy Test,"data structures,number theory",1109,E,Sasha and a Very Easy Test,PROGRAMMING,2250.0,2700.0
1109D - Sasha and Interesting Fact from Graph Theory,"brute force,combinatorics,dp,math,trees",1109,D,Sasha and Interesting Fact from Graph Theory,PROGRAMMING,1750.0,2400.0
1109C - Sasha and a Patient Friend,"binary search,data structures,implementation",1109,C,Sasha and a Patient Friend,PROGRAMMING,1750.0,2800.0
1109B - Sasha and One More Name,"constructive algorithms,hashing,strings",1109,B,Sasha and One More Name,PROGRAMMING,1250.0,1800.0
1109A - Sasha and a Bit of Relax,"dp,implementation",1109,A,Sasha and a Bit of Relax,PROGRAMMING,500.0,1600.0
1108F - MST Unification,"binary search,dsu,graphs,greedy",1108,F,MST Unification,PROGRAMMING,,2100.0
1108E2 - Array and Segments (Hard version),"data structures,implementation",1108,E2,Array and Segments (Hard version),PROGRAMMING,,2100.0
1108E1 - Array and Segments (Easy version),"brute force,greedy,implementation",1108,E1,Array and Segments (Easy version),PROGRAMMING,,1800.0
1108D - Diverse Garland,"constructive algorithms,dp,greedy",1108,D,Diverse Garland,PROGRAMMING,,1400.0
1108C - Nice Garland,"brute force,greedy,math",1108,C,Nice Garland,PROGRAMMING,,1300.0
1108B - Divisors of Two Integers,"brute force,greedy,math,number theory",1108,B,Divisors of Two Integers,PROGRAMMING,,1100.0
1108A - Two distinct points,implementation,1108,A,Two distinct points,PROGRAMMING,,800.0
1107G - Vasya and Maximum Profit,"binary search,constructive algorithms,data structures,dp,dsu",1107,G,Vasya and Maximum Profit,PROGRAMMING,,2400.0
1107F - Vasya and Endless Credits,"dp,flows,graph matchings,graphs,sortings",1107,F,Vasya and Endless Credits,PROGRAMMING,,2600.0
1107E - Vasya and Binary String,dp,1107,E,Vasya and Binary String,PROGRAMMING,,2400.0
1107D - Compression,"dp,implementation,math,number theory",1107,D,Compression,PROGRAMMING,,1800.0
1107C - Brutality,"greedy,sortings,two pointers",1107,C,Brutality,PROGRAMMING,,1300.0
1107B - Digital root,"math,number theory",1107,B,Digital root,PROGRAMMING,,1000.0
1107A - Digits Sequence Dividing,"greedy,strings",1107,A,Digits Sequence Dividing,PROGRAMMING,,900.0
1106F - Lunar New Year and a Recursive Sequence,"math,matrices,number theory",1106,F,Lunar New Year and a Recursive Sequence,PROGRAMMING,3000.0,2400.0
1106E - Lunar New Year and Red Envelopes,"data structures,dp",1106,E,Lunar New Year and Red Envelopes,PROGRAMMING,2250.0,2100.0
1106D - Lunar New Year and a Wander,"data structures,dfs and similar,graphs,greedy,shortest paths",1106,D,Lunar New Year and a Wander,PROGRAMMING,1500.0,1500.0
1106C - Lunar New Year and Number Division,"greedy,implementation,math,sortings",1106,C,Lunar New Year and Number Division,PROGRAMMING,1250.0,900.0
1106B - Lunar New Year and Food Ordering,"data structures,implementation",1106,B,Lunar New Year and Food Ordering,PROGRAMMING,1000.0,1500.0
1106A - Lunar New Year and Cross Counting,implementation,1106,A,Lunar New Year and Cross Counting,PROGRAMMING,500.0,800.0
1105E - Helping Hiasat ,"bitmasks,brute force,dp,meet-in-the-middle",1105,E,Helping Hiasat ,PROGRAMMING,2500.0,2200.0
1105D - Kilani and the Game,"dfs and similar,graphs,implementation,shortest paths",1105,D,Kilani and the Game,PROGRAMMING,2000.0,1900.0
1105C - Ayoub and Lost Array,"combinatorics,dp,math",1105,C,Ayoub and Lost Array,PROGRAMMING,1500.0,1500.0
1105B - Zuhair and Strings,"brute force,implementation,strings",1105,B,Zuhair and Strings,PROGRAMMING,1000.0,1100.0
1105A - Salem and Sticks ,"brute force,implementation",1105,A,Salem and Sticks ,PROGRAMMING,500.0,1100.0
1104B - Game with string,"data structures,implementation,math",1104,B,Game with string,PROGRAMMING,1000.0,1200.0
1104A - Splitting into digits,"constructive algorithms,implementation,math",1104,A,Splitting into digits,PROGRAMMING,500.0,800.0
1103E - Radix sum,"fft,math,number theory",1103,E,Radix sum,PROGRAMMING,3500.0,3400.0
1103D - Professional layer,"bitmasks,dp",1103,D,Professional layer,PROGRAMMING,3000.0,3100.0
1103C - Johnny Solving,"constructive algorithms,dfs and similar,graphs,math",1103,C,Johnny Solving,PROGRAMMING,2000.0,2700.0
1103B - Game with modulo,"binary search,constructive algorithms,interactive",1103,B,Game with modulo,PROGRAMMING,1000.0,2000.0
1103A - Grid game,"constructive algorithms,implementation",1103,A,Grid game,PROGRAMMING,500.0,1400.0
1102F - Elongated Matrix,"binary search,bitmasks,brute force,dp,graphs",1102,F,Elongated Matrix,PROGRAMMING,,2000.0
1102E - Monotonic Renumeration,"combinatorics,sortings",1102,E,Monotonic Renumeration,PROGRAMMING,,1700.0
1102D - Balanced Ternary String,"greedy,strings",1102,D,Balanced Ternary String,PROGRAMMING,,1500.0
1102C - Doors Breaking and Repairing,games,1102,C,Doors Breaking and Repairing,PROGRAMMING,,1200.0
1102B - Array K-Coloring,"greedy,sortings",1102,B,Array K-Coloring,PROGRAMMING,,1400.0
1102A - Integer Sequence Dividing,math,1102,A,Integer Sequence Dividing,PROGRAMMING,,800.0
1101G - (Zero XOR Subset)-less,"math,matrices",1101,G,(Zero XOR Subset)-less,PROGRAMMING,,2300.0
1101F - Trucks and Cities,"binary search,dp",1101,F,Trucks and Cities,PROGRAMMING,,2400.0
1101E - Polycarp's New Job,implementation,1101,E,Polycarp's New Job,PROGRAMMING,,1500.0
1101D - GCD Counting,"data structures,dfs and similar,dp,number theory,trees",1101,D,GCD Counting,PROGRAMMING,,2000.0
1101C - Division and Union,sortings,1101,C,Division and Union,PROGRAMMING,,1500.0
1101B - Accordion,"greedy,implementation",1101,B,Accordion,PROGRAMMING,,1300.0
1101A - Minimum Integer,math,1101,A,Minimum Integer,PROGRAMMING,,1000.0
1100F - Ivan and Burgers,"data structures,divide and conquer,greedy,math",1100,F,Ivan and Burgers,PROGRAMMING,2500.0,2500.0
1100E - Andrew and Taxi,"binary search,dfs and similar,graphs",1100,E,Andrew and Taxi,PROGRAMMING,2000.0,2200.0
1100D - Dasha and Chess,"constructive algorithms,games,interactive",1100,D,Dasha and Chess,PROGRAMMING,2000.0,2500.0
1100C - NN and the Optical Illusion,"binary search,geometry,math",1100,C,NN and the Optical Illusion,PROGRAMMING,1500.0,1200.0
1100B - Build a Contest,"data structures,implementation",1100,B,Build a Contest,PROGRAMMING,1000.0,1300.0
1100A - Roman and Browser,implementation,1100,A,Roman and Browser,PROGRAMMING,500.0,1000.0
1099F - Cookies,"binary search,data structures,dfs and similar,dp,games,trees",1099,F,Cookies,PROGRAMMING,2250.0,2400.0
1099C - Postcard,"constructive algorithms,implementation",1099,C,Postcard,PROGRAMMING,1250.0,1200.0
1099B - Squares and Segments,"binary search,constructive algorithms,math",1099,B,Squares and Segments,PROGRAMMING,1000.0,1100.0
1099A - Snowball,implementation,1099,A,Snowball,PROGRAMMING,500.0,800.0
1098F - Ж-function,"string suffix structures,strings",1098,F,Ж-function,PROGRAMMING,3000.0,3500.0
1098E - Fedya the Potter,"binary search,implementation,math,number theory",1098,E,Fedya the Potter,PROGRAMMING,2500.0,3400.0
1098D - Eels,data structures,1098,D,Eels,PROGRAMMING,1750.0,2800.0
1098C - Construct a tree,"binary search,constructive algorithms,dfs and similar,graphs,greedy,trees",1098,C,Construct a tree,PROGRAMMING,1500.0,2400.0
1098B - Nice table,"brute force,constructive algorithms,greedy,math",1098,B,Nice table,PROGRAMMING,1000.0,2100.0
1098A - Sum in the tree,"constructive algorithms,dfs and similar,greedy,trees",1098,A,Sum in the tree,PROGRAMMING,500.0,1600.0
1097H - Mateusz and an Infinite Sequence,"bitmasks,brute force,dp,strings",1097,H,Mateusz and an Infinite Sequence,PROGRAMMING,4000.0,3400.0
1097G - Vladislav and a Great Legend,"combinatorics,dp,trees",1097,G,Vladislav and a Great Legend,PROGRAMMING,3500.0,3000.0
1097F - Alex and a TV Show,"bitmasks,combinatorics,number theory",1097,F,Alex and a TV Show,PROGRAMMING,3000.0,2500.0
1097E - Egor and an RPG game,"constructive algorithms,greedy",1097,E,Egor and an RPG game,PROGRAMMING,2750.0,3400.0
1097D - Makoto and a Blackboard,"dp,math,number theory,probabilities",1097,D,Makoto and a Blackboard,PROGRAMMING,2000.0,2200.0
1097C - Yuhao and a Parenthesis,"greedy,implementation",1097,C,Yuhao and a Parenthesis,PROGRAMMING,1500.0,1400.0
1097B - Petr and a Combination Lock,"bitmasks,brute force,dp",1097,B,Petr and a Combination Lock,PROGRAMMING,1000.0,1200.0
1097A - Gennady and a Card Game,"brute force,implementation",1097,A,Gennady and a Card Game,PROGRAMMING,500.0,800.0
1096G - Lucky Tickets,"divide and conquer,dp,fft",1096,G,Lucky Tickets,PROGRAMMING,,2400.0
1096F - Inversion Expectation,"dp,math,probabilities",1096,F,Inversion Expectation,PROGRAMMING,,2300.0
1096E - The Top Scorer,"combinatorics,dp,math,probabilities",1096,E,The Top Scorer,PROGRAMMING,,2500.0
1096D - Easy Problem,dp,1096,D,Easy Problem,PROGRAMMING,,1800.0
1096C - Polygon for the Angle,"brute force,geometry",1096,C,Polygon for the Angle,PROGRAMMING,,1600.0
1096B - Substring Removal,"combinatorics,math,strings",1096,B,Substring Removal,PROGRAMMING,,1300.0
1096A - Find Divisible,"greedy,implementation,math",1096,A,Find Divisible,PROGRAMMING,,800.0
1095F - Make It Connected,"dsu,graphs,greedy",1095,F,Make It Connected,PROGRAMMING,,1900.0
1095E - Almost Regular Bracket Sequence,implementation,1095,E,Almost Regular Bracket Sequence,PROGRAMMING,,1900.0
1095D - Circular Dance,implementation,1095,D,Circular Dance,PROGRAMMING,,1600.0
1095C - Powers Of Two,"bitmasks,greedy",1095,C,Powers Of Two,PROGRAMMING,,1400.0
1095B - Array Stabilization,implementation,1095,B,Array Stabilization,PROGRAMMING,,900.0
1095A - Repeating Cipher,implementation,1095,A,Repeating Cipher,PROGRAMMING,,800.0
1093G - Multidimensional Queries,"bitmasks,data structures",1093,G,Multidimensional Queries,PROGRAMMING,,2300.0
1093F - Vasya and Array,dp,1093,F,Vasya and Array,PROGRAMMING,,2400.0
1093E - Intersection of Permutations,data structures,1093,E,Intersection of Permutations,PROGRAMMING,,2400.0
1093D - Beautiful Graph,"dfs and similar,graphs",1093,D,Beautiful Graph,PROGRAMMING,,1700.0
1093C - Mishka and the Last Exam,greedy,1093,C,Mishka and the Last Exam,PROGRAMMING,,1300.0
1093B - Letters Rearranging,"constructive algorithms,greedy,sortings,strings",1093,B,Letters Rearranging,PROGRAMMING,,900.0
1093A - Dice Rolling,math,1093,A,Dice Rolling,PROGRAMMING,,800.0
1092F - Tree with Maximum Cost,"dfs and similar,dp,trees",1092,F,Tree with Maximum Cost,PROGRAMMING,,1900.0
1092E - Minimal Diameter Forest,"constructive algorithms,dfs and similar,greedy,trees",1092,E,Minimal Diameter Forest,PROGRAMMING,,2000.0
1092D2 - Great Vova Wall (Version 2),"data structures,implementation",1092,D2,Great Vova Wall (Version 2),PROGRAMMING,,2200.0
1092D1 - Great Vova Wall (Version 1),"greedy,implementation,math",1092,D1,Great Vova Wall (Version 1),PROGRAMMING,,2200.0
1092C - Prefixes and Suffixes,strings,1092,C,Prefixes and Suffixes,PROGRAMMING,,1700.0
